epoch,lr-Adam,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,,,
0,,55,,,,,0.583113431930542,1.5286411046981812
0,,55,,,0.6069004535675049,1.0871254205703735,,
,0.001,56,,,,,,
1,,111,,,,,0.6147757172584534,1.1660492420196533
1,,111,,,0.7324660420417786,0.7475624084472656,,
,0.001,112,,,,,,
2,,167,,,,,0.7361477613449097,0.8277782201766968
2,,167,,,0.7731900215148926,0.6562495231628418,,
,0.001,168,,,,,,
3,,223,,,,,0.6781002879142761,0.9081225395202637
3,,223,,,0.8054298758506775,0.550926148891449,,
,0.001,224,,,,,,
4,,279,,,,,0.791556715965271,0.7246177196502686
4,,279,,,0.8184388875961304,0.5208225250244141,,
,0.0005,280,,,,,,
5,,335,,,,,0.8153034448623657,0.47939226031303406
5,,335,,,0.891968309879303,0.3258502185344696,,
,0.0005,336,,,,,,
6,,391,,,,,0.8496042490005493,0.41676104068756104
6,,391,,,0.9247737526893616,0.2096690535545349,,
,0.0005,392,,,,,,
7,,447,,,,,0.8733509182929993,0.41895613074302673
7,,447,,,0.9406108856201172,0.1866988241672516,,
,0.0005,448,,,,,,
8,,503,,,,,0.8416886329650879,0.5259124040603638
8,,503,,,0.9400452375411987,0.1706407368183136,,
,0.0005,504,,,,,,
9,,559,,,,,0.8126649260520935,0.7045139670372009
9,,559,,,0.9276018142700195,0.1967526376247406,,
10,,560,0.8368421196937561,0.5971857309341431,,,,
